ID;NOMBRE;MUNICIPIO;PROVINCIA;ALTURA;LATITUD;LONGITUD
9657X;Esterri d'Àneu;Esterri d'Àneu;Lleida;952;423730N;010734E
9689X;Torre de Cabdella;Torre de Cabdella, La;Lleida;1273;422759N;005927E
9698U;Talarn;Tremp;Lleida;807;421219N;005155E
9707;Llimiana;Llimiana;Lleida;515;420401N;005426E
9720X;Tàrrega;Tàrrega;Lleida;388;413902N;010858E
9724X;Os de Balaguer;Os de Balaguer;Lleida;520;415224N;004522E
9729X;Mollerussa;Mollerussa;Lleida;252;413701N;005200E
9744B;La Vall de Boi;Vall de Boí, La;Lleida;1089;423012N;004756E
9771C;Lleida;Lleida;Lleida;185;413734N;003553E
9772X;La Pobla de Cérvoles;Pobla de Cérvoles, La;Lleida;673;412158N;005449E
9775X;El Soleràs;Soleràs, El;Lleida;392;412449N;004042E
9994X;Bossòst;Bossòst;Lleida;722;424634N;004123E
1297E;Cervantes;Cervantes;Lugo;1020;424607N;070103W
1342X;Ribadeo;Ribadeo;Lugo;43;433226N;070459W
1344X;Mondoñedo;Mondoñedo;Lugo;125;432553N;072142W
1347T;Burela;Burela;Lugo;80;433904N;072126W
1505;Lugo Aeropuerto;Castro de Rei;Lugo;445;430641N;072727W
1518A;Lugo;Lugo;Lugo;442;425954N;073309W
1521I;O Páramo;Páramo, O;Lugo;403;425043N;072958W
1521X;Becerreá;Becerreá;Lugo;1080;425150N;071107W
1535I;O Saviñao;Saviñao, O;Lugo;555;423805N;074217W
1658;Folgoso do Courel;Folgoso do Courel;Lugo;612;423519N;071130W
1679A;Monforte de Lemos;Monforte de Lemos;Lugo;291;423154N;073039W
2462;Puerto de Navacerrada;Cercedilla;Madrid;1894;404735N;040038W
3100B;Aranjuez;Aranjuez;Madrid;540;400402N;033246W
3104Y;Rascafría;Rascafría;Madrid;1159;405323N;035318W
3110C;Buitrago del Lozoya;Buitrago del Lozoya;Madrid;1026;410025N;033649W
3111D;Somosierra;Somosierra;Madrid;1450;410808N;033449W
3125Y;San Sebastián de Los Reyes;San Sebastián de los Reyes;Madrid;671;403412N;033806W
3126Y;Madrid, El Goloso;Madrid;Madrid;740;403341N;034243W
3129;Madrid Aeropuerto;Madrid;Madrid;609;402800N;033320W
3170Y;Alcala de Henares;Alcalá de Henares;Madrid;605;403142N;031723W
3182Y;Arganda del Rey;Arganda del Rey;Madrid;533;401842N;032952W
3191E;Colmenar Viejo;Colmenar Viejo;Madrid;1004;404146N;034554W
3194U;Madrid, Ciudad Universitaria;Madrid;Madrid;664;402706N;034327W
3194Y;Pozuelo de Alarcón;Pozuelo de Alarcón;Madrid;665;402654N;034848W
3195;Madrid, Retiro;Madrid;Madrid;667;402443N;034041W
3229Y;Tielmes;Tielmes;Madrid;594;401450N;031842W
3266A;Puerto Alto del León;Guadarrama;Madrid;1532;404223N;040831W
3268C;Alpedrete;Alpedrete;Madrid;924;403935N;040103W
3330Y;Rozas de Puerto Real;Rozas de Puerto Real;Madrid;890;401847N;042914W
3338;Robledo de Chavela;Robledo de Chavela;Madrid;790;402540N;041500W
3343Y;Valdemorillo;Valdemorillo;Madrid;884;402948N;040340W
6032B;Ronda;Ronda;Málaga;766;364459N;051006W
6032X;Ronda Instituto;Ronda;Málaga;753;364500N;051007W
6040X;Cortes de la Frontera;Cortes de la Frontera;Málaga;315;363240N;052311W
6045X;Alpandeire;Alpandeire;Málaga;676;363757N;051211W
6050X;Gaucín;Gaucín;Málaga;594;363107N;051907W
6057X;Manilva;Manilva;Málaga;140;362242N;051536W
6058I;Estepona;Estepona;Málaga;11;362501N;050918W
6069X;Benahavis;Benahavís;Málaga;392;363237N;050129W
6076X;Marbella, Puerto;Marbella;Málaga;2;362904N;045711W
6083X;Marbella;Marbella;Málaga;2;362901N;044425W
6084X;Fuengirola;Fuengirola;Málaga;8;363219N;043706W
6088X;Torremolinos;Torremolinos;Málaga;85;363714N;043054W
6106X;Antequera;Antequera;Málaga;408;370146N;044454W
6127X;Álora;Álora;Málaga;172;365117N;044148W
6143X;Coín;Coín;Málaga;230;363928N;044539W
6155A;Málaga Aeropuerto;Málaga;Málaga;5;363958N;042856W
6156X;Málaga, Centro Meteorológico;Málaga;Málaga;54;364304N;042854W
6172X;Málaga;Málaga;Málaga;25;364300N;042511W
6175X;Rincon de la Victoria;Rincón de la Victoria;Málaga;7;364254N;041710W
6199B;Vélez-Málaga;Vélez-Málaga;Málaga;62;364632N;040543W
6201X;Algarrobo;Algarrobo;Málaga;40;364521N;040238W
6213X;Nerja;Nerja;Málaga;169;364546N;035043W
6375X;Fuente de Piedra;Fuente de Piedra;Málaga;420;370757N;044431W
6000A;Melilla;Melilla;Melilla;52;351635N;025723W
7002Y;Águilas;Águilas;Murcia;26;372502N;013513W
7007X;Mazarrón;Mazarrón;Murcia;3;373435N;011404W
7012C;Cartagena;Cartagena;Murcia;17;373604N;005916W
7023X;Fuente Álamo de Murcia;Fuente Álamo de Murcia;Murcia;140;374335N;011002W
7026X;Torre-Pacheco;Torre-Pacheco;Murcia;50;374420N;005803W
7031X;San Javier Aeropuerto;San Javier;Murcia;4;374642N;004821W
7080X;Moratalla;Moratalla;Murcia;955;381606N;015911W
7119B;Caravaca de La Cruz;Caravaca de la Cruz;Murcia;643;380609N;015238W
7121A;Calasparra;Calasparra;Murcia;350;381403N;014208W
7127X;Bullas;Bullas;Murcia;640;380257N;014143W
7138B;Jumilla;Jumilla;Murcia;485;382732N;012007W
7145D;Cieza;Cieza;Murcia;265;381358N;012250W
7158X;Archena;Archena;Murcia;150;380741N;011821W
7172X;Mula;Mula;Murcia;255;380229N;012657W
7178I;Murcia;Murcia;Murcia;61;380007N;011015W
7195X;Caravaca de La Cruz, Los Royos;Caravaca de la Cruz;Murcia;985;375534N;020330W
7203A;Lorca, Zarcilla de Ramos;Lorca;Murcia;646;375041N;015211W
7209;Lorca;Lorca;Murcia;312;373917N;014114W
7211B;Puerto Lumbreras;Puerto Lumbreras;Murcia;445;373405N;014750W
7218X;Totana;Totana;Murcia;225;374543N;013008W
7227X;Alhama de Murcia;Alhama de Murcia;Murcia;157;375142N;012005W
7237E;Molina de Segura;Molina de Segura;Murcia;170;380820N;010931W
7250C;Abanilla;Abanilla;Murcia;174;381140N;010202W
7275C;Yecla;Yecla;Murcia;640;383606N;010935W
1002Y;Baztan, Irurita;Baztan;Navarra;183;430809N;013235W
1010X;Bera;Bera;Navarra;45;431646N;014038W
1033X;Areso;Areso;Navarra;520;430506N;015703W
9171K;Los Arcos;Arcos, Los;Navarra;470;423413N;021102W
9218A;Isaba/Izaba;Isaba/Izaba;Navarra;820;425144N;005529W
9228J;Oroz-Betelu/Orotz-Betelu;Oroz-Betelu/Orotz-Betelu;Navarra;635;425346N;011801W
9228T;Roncesvalles;Orreaga/Roncesvalles;Navarra;947;430028N;011932W
9238X;Navascués/Nabaskoze;Navascués/Nabaskoze;Navarra;615;424303N;010702W
9245X;Cáseda;Cáseda;Navarra;440;423117N;012159W
9252X;Olite/Erriberri;Olite/Erriberri;Navarra;390;422921N;013920W
9257X;Esteribar, Eugui;Esteribar;Navarra;615;425814N;013101W
9262P;Monreal/Elo;Monreal/Elo;Navarra;585;424204N;012944W
9263D;Pamplona Aeropuerto;Galar;Navarra;459;424637N;013900W
9263X;Aranguren, Ilundain;Aranguren;Navarra;572;424634N;013157W
9911X;Ballobar;Ballobar;Huesca;178;413710N;001116E
9918Y;Tamarite de Litera;Tamarite de Litera;Huesca;218;414651N;002237E
9924X;Fraga;Fraga;Huesca;170;413129N;002120E
B013X;Escorca, Lluc;Escorca;Illes Balears;490;394924N;025309E
B087X;Banyalbufar;Banyalbufar;Illes Balears;60;394121N;023046E
B158X;Calvià, Es Capdellà;Calvià;Illes Balears;50;393305N;022759E
B228;Palma de Mallorca, Puerto;Palma de Mallorca;Illes Balears;3;393312N;023731E
B236C;Palma de Mallorca, Universidad;Palma de Mallorca;Illes Balears;95;393832N;023837E
B248;Sierra de Alfabia, Bunyola;Bunyola;Illes Balears;1030;394406N;024247E
B275C;Marratxí;Marratxí;Illes Balears;26;393525N;024127E
B278;Palma de Mallorca, Aeropuerto;Palma de Mallorca;Illes Balears;8;393339N;024412E
B278C;Palma de Mallorca, Es Pil Larí;Palma de Mallorca;Illes Balears;16;393122N;024520E
B301;Llucmajor, Cap Blanc;Llucmajor;Illes Balears;113;392247N;024706E
B334X;Llucmajor;Llucmajor;Illes Balears;140;392944N;025330E
B346X;Porreres;Porreres;Illes Balears;120;393118N;030109E
B362X;Campos, Can Sion;Campos;Illes Balears;40;392421N;030351E
B373X;Campos, Salines Llevant;Campos;Illes Balears;3;392104N;030043E
B410B;Santanyí;Santanyí;Illes Balears;45;392024N;030845E
B434X;Portocolom;Felanitx;Illes Balears;17;392452N;031618E
B496X;Son Servera;Son Servera;Illes Balears;25;393749N;032301E
B526X;Artà;Artà;Illes Balears;110;394119N;032104E
B569X;Capdepera;Capdepera;Illes Balears;66;394256N;032841E
B603X;Artà-Colònia de Sant Pere;Artà;Illes Balears;99;394323N;031643E
B605X;Muro, S'Albufera;Muro;Illes Balears;2;394748N;030617E
B614E;Manacor;Manacor;Illes Balears;95;393325N;031304E
B644B;Sineu;Sineu;Illes Balears;120;393836N;030008E
B656A;Santa María del Camí;Santa María del Camí;Illes Balears;121;393909N;024801E
B662X;Binissalem;Binissalem;Illes Balears;105;394041N;025226E
B684A;Escorca, Son Torrella;Escorca;Illes Balears;850;394750N;024731E
B691Y;Sa Pobla;Pobla, Sa;Illes Balears;40;394457N;030100E
B760X;Pollença;Pollença;Illes Balears;35;395237N;030127E
B780X;Port de Pollença;Pollença;Illes Balears;2;395434N;030601E
B825B;Es Mercadal;Mercadal, Es;Illes Balears;80;395926N;040511E
B860X;Ciutadella;Ciutadella de Menorca;Illes Balears;20;395934N;035114E
B870C;Ciutadella, Cala Galdana;Ciutadella de Menorca;Illes Balears;43;395641N;035724E
B893;Menorca, Aeropuerto;Maó-Mahón;Illes Balears;91;395117N;041256E
B908X;Sant Joan de Labritja;Sant Joan de Labritja;Illes Balears;110;390322N;012933E
B954;Ibiza, Aeropuerto;Sant Josep de sa Talaia;Illes Balears;6;385235N;012304E
B957;Eivissa;Eivissa;Illes Balears;3;385521N;012629E
B986;Formentera;Formentera;Illes Balears;24;384137N;012749E
5038X;Cazorla;Cazorla;Jaén;813;375457N;030014W
5164B;Baeza;Baeza;Jaén;771;375948N;032743W
5165X;Torres;Torres;Jaén;910;374651N;033349W
5181D;Arroyo del Ojanco;Arroyo del Ojanco;Jaén;580;381853N;025323W
5192;Villarrodrigo;Villarrodrigo;Jaén;862;382921N;023815W
5210X;Villanueva del Arzobispo;Villanueva del Arzobispo;Jaén;680;381030N;025953W
5246;Santa Elena;Santa Elena;Jaén;770;382040N;033207W
5270B;Jaén;Jaén;Jaén;580;374639N;034832W
5279X;Linares;Linares;Jaén;515;380904N;033746W
5281X;Bailén;Bailén;Jaén;345;380535N;034657W
5298X;Andújar;Andújar;Jaén;202;380123N;040350W
5406X;Alcalá La Real;Alcalá la Real;Jaén;908;372951N;035429W
9115X;Valdezcaray, estación de esquí;Ezcaray;La Rioja;1630;421518N;025806W
9121X;Haro;Haro;La Rioja;465;423431N;025117W
9136X;Anguiano;Anguiano;La Rioja;1006;421351N;025216W
9141V;Nájera;Nájera;La Rioja;500;422451N;024336W
9145Y;Cenicero;Cenicero;La Rioja;429;422858N;023822W
9170;Logroño Aeropuerto;Agoncillo;La Rioja;353;422708N;021952W
9188;Enciso;Enciso;La Rioja;855;420858N;021624W
9283Y;Alfaro;Alfaro;La Rioja;285;421104N;014723W
C018J;Tías;Tías;Las Palmas;376;285811N;134125W
C019V;Yaiza;Oliva, La;Las Palmas;6;285132N;135006W
C029O;Lanzarote Aeropuerto;San Bartolomé;Las Palmas;14;285707N;133601W
C038N;Haría;Haría;Las Palmas;277;290837N;132921W
C048W;Tinajo;Tinajo;Las Palmas;275;290233N;134051W
C229J;Pájara;Pájara;Las Palmas;15;280257N;142129W
C239N;Tuineje,Puerto Gran Tarajal;Tuineje;Las Palmas;1;281231N;140123W
C248E;Antigua;Antigua;Las Palmas;252;282502N;140110W
C249I;Fuerteventura Aeropuerto;Puerto del Rosario;Las Palmas;25;282641N;135147W
C258K;La Oliva;Oliva, La;Las Palmas;217;283645N;135555W
C259X;La Oliva, Puerto de Corralejo;Oliva, La;Las Palmas;6;284426N;135148W
C611E;Vega de San Mateo;Vega de San Mateo;Las Palmas;1702;275838N;153502W
C612F;Tejeda, Cruz de Tejeda;Tejeda;Las Palmas;1514;280025N;153556W
C619I;La Aldea de San Nicolás;Aldea de San Nicolás, La;Las Palmas;10;280003N;154850W
C619X;Agaete;Agaete;Las Palmas;5;280604N;154246W
C623I;San Bartolome Tirajana, Cuevas del Pinar;San Bartolomé de Tirajana;Las Palmas;1220;275536N;153600W
C625O;San Bartolome Tirajana, Lomo Pedro Alfonso;San Bartolomé de Tirajana;Las Palmas;806;275125N;153842W
C628B;La Aldea de San Nicolás, Tasarte;Aldea de San Nicolás, La;Las Palmas;318;275432N;154612W
C629Q;Mogán, Puerto Rico;Mogán;Las Palmas;10;274648N;154240W
C629X;Mogán, Puerto;Mogán;Las Palmas;10;274859N;154551W
C635B;San Bartolome Tirajana, Las Tirajanas;San Bartolomé de Tirajana;Las Palmas;960;275512N;153427W
C639M;Maspalomas, C. Insular Turismo;San Bartolomé de Tirajana;Las Palmas;45;274529N;153432W
C639U;San Bartolome Tirajana, El Matorral;San Bartolomé de Tirajana;Las Palmas;41;274845N;152712W
C648C;Agüimes;Agüimes;Las Palmas;306;275409N;152714W
C648N;Telde, Centro Forestal Doramas;Telde;Las Palmas;344;275915N;152728W
C649I;Gran Canaria Aeropuerto;Ingenio;Las Palmas;24;275521N;152322W
7019B;San Javier (La Manga);San Javier;Murcia;4;374146N;004420W
1354C;Ferrol;Ferrol;A Coruña;4;432835N;081533W
9814I;Torla-El Cebollar;Torla-Ordesa;Huesca;1905;423922N;000728W
5514Z;Granada Base Aérea;Armilla;Granada;690;370810N;033760W
C101A;Roque de los Muchachos;Garafía;Santa Cruz de Tenerife;2223;284521N;175343W
9839V;Cerler-Cogulla;Benasque;Huesca;2374;423318N;003235E
9451F;Panticosa-Petrosos;Panticosa;Huesca;1850;424216N;001631W
B051A;Sóller, Puerto;Sóller;Illes Balears;5;394744N;024129E
9988B;CAP DE VAQUEIRA;Naut Aran;Lleida;2467;424131N;005826E
B640X;Petra;Petra;Illes Balears;95;393659N;030716E
9293X;Alfaro, La Plana;Alfaro;La Rioja;371;421034N;014438W
9445L;Formigal, Sarrios;Sallent de Gállego;Huesca;1800;424545N;002334W
9574B;Caspe, Plana del Pilón;Caspe;Zaragoza;202;411433N;000407W
1387D;A Coruña Bens;Coruña, A;A Coruña;132;432148N;082631W
B275E;Son Bonet, Aeropuerto;Marratxí;Illes Balears;49;393621N;024224E
9274X;Irurtzun;Irurtzun;Navarra;432;425508N;015006W
9280B;Larraga;Larraga;Navarra;375;423258N;015127W
9283X;Cadreita;Cadreita;Navarra;268;421225N;014241W
9294E;Bardenas Reales, Base Aérea;Tudela;Navarra;295;421155N;012831W
9301X;Monteagudo;Monteagudo;Navarra;410;415732N;014126W
9302Y;Tudela;Tudela;Navarra;295;420320N;013634W
9995Y;Luzaide/Valcarlos;Luzaide/Valcarlos;Navarra;334;430528N;011803W
1583X;O Barco de Valdeorras;Barco de Valdeorras, O;Ourense;315;422456N;065935W
1631E;A Pobra de Trives;Pobra de Trives, A;Ourense;840;422022N;071657W
1639X;Chandrexa de Queixa;Chandrexa de Queixa;Ourense;990;421537N;072301W
1690A;Ourense;Ourense;Ourense;143;421931N;075135W
1696O;Beariz;Beariz;Ourense;610;422805N;081641W
1700X;Carballiño, O;Carballiño, O;Ourense;400;422517N;080533W
1701X;Ribadavia;Ribadavia;Ourense;112;421800N;080745W
1706A;Allariz;Allariz;Ourense;492;421058N;074746W
1735X;Xinzo de Limia;Xinzo de Limia;Ourense;616;420445N;074401W
1738U;Muiños;Muíños;Ourense;730;415603N;075920W
2969U;A Gudiña;Gudiña, A;Ourense;910;420138N;071059W
2978X;Verín;Verín;Ourense;380;415536N;072519W
2235U;Cervera de Pisuerga;Cervera de Pisuerga;Palencia;1140;425214N;043112W
2243A;Aguilar de Campoo;Aguilar de Campoo;Palencia;910;424750N;041637W
2276B;Villaeles de Valdavia;Villaeles de Valdavia;Palencia;908;423408N;043430W
2362C;Velilla del Río Carrión, Camporredondo de Alba;Velilla del Río Carrión;Palencia;1575;425338N;044249W
2374X;Carrión de los Condes;Carrión de los Condes;Palencia;830;422103N;043702W
2400E;Autilla del Pino;Autilla del Pino;Palencia;874;415944N;043610W
2401X;Palencia;Palencia;Palencia;736;420034N;043338W
2568D;Santervás de la Vega, Villapún;Santervás de la Vega;Palencia;985;423125N;045104W
1466A;Silleda;Silleda;Pontevedra;435;424203N;081528W
1468X;A Estrada;Estrada, A;Pontevedra;269;424137N;083007W
1477V;VilagarcÍa de Arousa;Vilagarcía de Arousa;Pontevedra;32;423505N;084629W
1484C;Pontevedra;Pontevedra;Pontevedra;108;422618N;083657W
1489A;A Lama;Lama, A;Pontevedra;395;422425N;082704W
1495;Vigo Aeropuerto;Redondela;Pontevedra;261;421419N;083726W
1496X;Vigo;Vigo;Pontevedra;120;421350N;084327W
1719;A Cañiza;Cañiza, A;Pontevedra;560;421305N;081652W
1723X;Ponteareas, Canedo;Ponteareas;Pontevedra;90;421056N;082934W
1730E;O Rosal;Rosal, O;Pontevedra;55;415638N;085051W
2491C;La Covatilla, estación de esquí;Navacarros;Salamanca;1960;402118N;054124W
2847X;Pedrosillo de Los Aires;Pedrosillo de los Aires;Salamanca;865;404032N;053836W
2863C;Pedraza de Alba;Pedraza de Alba;Salamanca;897;404356N;052158W
2867;Salamanca Aeropuerto;Calvarrasa de Abajo;Salamanca;790;405734N;052954W
2870;Salamanca;Salamanca;Salamanca;775;405727N;053944W
2873X;Barbadillo;Barbadillo;Salamanca;817;405413N;054647W
2883R;Ledesma;Ledesma;Salamanca;775;411202N;060601W
2891A;Villarino de los Aires;Villarino de los Aires;Salamanca;690;411547N;062745W
2914C;Boadilla Fuente San Esteban;Fuente de San Esteban, La;Salamanca;785;404710N;061210W
2916A;Vitigudino;Vitigudino;Salamanca;769;410041N;062616W
2918Y;El Maíllo;Maíllo, El;Salamanca;1027;403410N;061325W
2926B;Bañobárez;Bañobárez;Salamanca;748;405105N;063632W
2930Y;Navasfrías;Navasfrías;Salamanca;880;401748N;064846W
2945A;El Bodón Base Aérea;Bodón, El;Salamanca;805;402906N;063437W
2946X;Saelices El Chico;Saelices el Chico;Salamanca;680;403806N;063600W
2135A;Fresno de Cantespino;Fresno de Cantespino;Segovia;993;412222N;033026W
2140A;Aldeanueva de Serrezuela;Aldeanueva de la Serrezuela;Segovia;1135;412752N;034709W
2150H;La Pinilla, estación de esquí;Cerezo de Arriba;Segovia;1860;411131N;032831W
2182C;Pedraza;Pedraza;Segovia;1107;410802N;034725W
2192C;Cuéllar;Cuéllar;Segovia;795;412301N;041556W
2465;Segovia;Segovia;Segovia;1005;405643N;040735W
2471Y;San Rafael;Espinar, El;Segovia;1260;404305N;041238W
2482B;Miguelañez;Migueláñez;Segovia;870;410735N;042233W
5612B;La Roda de Andalucía;Roda de Andalucía, La;Sevilla;410;371140N;044612W
5612X;Lora de Estepa;Lora de Estepa;Sevilla;450;371613N;044937W
5641X;Écija;Écija;Sevilla;130;373058N;050506W
5654X;La Puebla de los Infantes;Puebla de los Infantes, La;Sevilla;200;374712N;052216W
5656;Fuentes de Andalucía;Fuentes de Andalucía;Sevilla;165;372950N;052559W
5702X;Carmona;Carmona;Sevilla;50;373356N;054426W
5704B;Cazalla de la Sierra;Cazalla de la Sierra;Sevilla;550;375535N;054611W
5726X;Guadalcanal;Guadalcanal;Sevilla;720;380558N;054909W
5733X;Almadén de la Plata;Almadén de la Plata;Sevilla;450;374728N;060430W
5783;Sevilla Aeropuerto;Sevilla;Sevilla;34;372500N;055245W
5790Y;Sevilla, Tablada;Sevilla;Sevilla;9;372151N;060021W
5796;Morón de la Frontera;Arahal;Sevilla;87;370952N;053641W
5835X;Carrión de los Céspedes;Carrión de los Céspedes;Sevilla;76;372136N;062003W
5891X;Las Cabezas de San Juan;Cabezas de San Juan, Las;Sevilla;105;365712N;055048W
5998X;Osuna;Osuna;Sevilla;255;371436N;050645W
2005Y;Vinuesa;Vinuesa;Soria;1197;415804N;024658W
2017Y;La Póveda de Soria, Barriomartín;Póveda de Soria, La;Soria;1260;415945N;022939W
2030;Soria;Soria;Soria;1082;414630N;022859W
2044B;Lubia;Cubo de la Solana;Soria;1100;413602N;023027W
2048A;Morón de Almazán;Morón de Almazán;Soria;978;412510N;022513W
2059B;La Riba de Escalote;Riba de Escalote, La;Soria;1042;412059N;024700W
2084Y;Ucero;Ucero;Soria;960;414319N;030249W
2092;Burgo de Osma;Burgo de Osma-Ciudad de Osma;Soria;932;413522N;030513W
2096B;Liceras;Liceras;Soria;1150;412225N;031505W
2296A;Ólvega;Ólvega;Soria;1039;414632N;015836W
9287A;San Pedro Manrique;San Pedro Manrique;Soria;1096;420135N;021351W
9344C;Arcos de Jalón;Arcos de Jalón;Soria;863;411259N;021735W
9352A;Almazul;Almazul;Soria;1000;413429N;020825W
C117A;Puntagorda;Puntagorda;Santa Cruz de Tenerife;684;284539N;175908W
C117Z;Tijarafe;Tijarafe;Santa Cruz de Tenerife;733;284029N;175613W
C126A;El Paso;Paso, El;Santa Cruz de Tenerife;844;283914N;175112W
C129V;Fuencaliente;Fuencaliente de la Palma;Santa Cruz de Tenerife;30;282719N;175028W
C129Z;Tazacorte;Tazacorte;Santa Cruz de Tenerife;62;283545N;175455W
C139E;La Palma Aeropuerto;Breña Baja;Santa Cruz de Tenerife;33;283759N;174518W
C148F;San Andrés y Sauces;San Andrés y Sauces;Santa Cruz de Tenerife;362;284818N;174657W
C314Z;Vallehermoso, Alto Igualero;Vallehermoso;Santa Cruz de Tenerife;1475;280625N;171457W
C315P;Vallehermoso, Chipude C.F.;Vallehermoso;Santa Cruz de Tenerife;1242;280639N;171548W
C317B;Agulo;Agulo;Santa Cruz de Tenerife;765;281044N;171247W
C319W;Vallehermoso, Dama;Vallehermoso;Santa Cruz de Tenerife;190;280316N;171824W
C328W;Hermigua;Hermigua;Santa Cruz de Tenerife;252;280949N;171139W
C329Z;San Sebastián de la Gomera;San Sebastián de la Gomera;Santa Cruz de Tenerife;15;280523N;170641W
C406G;La Orotava, Cañadas Teide;Orotava, La;Santa Cruz de Tenerife;2150;281327N;163735W
C419X;Adeje;Adeje;Santa Cruz de Tenerife;130;280453N;164240W
C428T;Arico;Arico;Santa Cruz de Tenerife;418;281052N;162901W
C429I;Tenerife Sur Aeropuerto;Granadilla de Abona;Santa Cruz de Tenerife;64;280249N;163340W
C430E;Izaña;Güímar;Santa Cruz de Tenerife;2371;281832N;162958W
C438N;Candelaria;Candelaria;Santa Cruz de Tenerife;463;282132N;162405W
C439J;Güímar;Güímar;Santa Cruz de Tenerife;115;281906N;162256W
C446G;San Cristóbal de La Laguna,Llano de los Loros;San Cristóbal de La Laguna;Santa Cruz de Tenerife;868;283136N;161650W
C447A;Tenerife Norte Aeropuerto;San Cristóbal de La Laguna;Santa Cruz de Tenerife;632;282839N;161946W
C449C;Sta.Cruz de Tenerife;Santa Cruz de Tenerife;Santa Cruz de Tenerife;35;282748N;161519W
C449F;Anaga;Santa Cruz de Tenerife;Santa Cruz de Tenerife;19;283029N;161144W
C457I;La Victoria de Acentejo;Victoria de Acentejo, La;Santa Cruz de Tenerife;567;282605N;162717W
C458A;Tacoronte;Tacoronte;Santa Cruz de Tenerife;310;282947N;162512W
C459Z;Puerto de la Cruz;Puerto de la Cruz;Santa Cruz de Tenerife;25;282505N;163253W
C468B;San Juan de la Rambla;San Juan de la Rambla;Santa Cruz de Tenerife;370;282323N;163747W
C469N;Los Silos;Silos, Los;Santa Cruz de Tenerife;28;282243N;164903W
C916Q;El Pinar, Depósito;Pinar de El Hierro, El;Santa Cruz de Tenerife;948;274308N;175841W
C917E;El Pinar, La Dehesa;Pinar de El Hierro, El;Santa Cruz de Tenerife;715;274331N;180654W
C925F;Valverde;Valverde;Santa Cruz de Tenerife;1070;274607N;175736W
C929I;Hierro Aeropuerto;Valverde;Santa Cruz de Tenerife;32;274908N;175320W
C939T;Frontera, Sabinosa;Frontera;Santa Cruz de Tenerife;20;274523N;180624W
0002I;Vandellós;Vandellòs i l'Hospitalet de l'Infant;Tarragona;32;405729N;005217E
0009X;Alforja;Alforja;Tarragona;406;411250N;005748E
0016A;Reus Aeropuerto;Constantí;Tarragona;71;410859N;011044E
0034X;Valls;Valls;Tarragona;233;411735N;011539E
0042Y;Tarragona;Tarragona;Tarragona;55;410726N;011457E
9726E;Llorac;Llorac;Tarragona;657;413326N;011834E
9946X;Horta de Sant Joan;Horta de Sant Joan;Tarragona;495;405711N;001842E
9947X;La Pobla de Massaluca;Pobla de Massaluca, La;Tarragona;370;411038N;002112E
9961X;Cabacés;Cabacés;Tarragona;363;411458N;004407E
9975X;Rasquera;Rasquera;Tarragona;112;410018N;003649E
9981A;Tortosa;Roquetes;Tarragona;50;404913N;002936E
9987P;Sant Jaume d'Enveja;Sant Jaume d'Enveja;Tarragona;1;404157N;004836E
8354X;Albarracín;Albarracín;Teruel;1130;402511N;012629W
8368U;Teruel;Teruel;Teruel;900;402102N;010727W
8376;Jabaloyas;Jabaloyas;Teruel;1430;401410N;012442W
8458X;Cedrillas;Cedrillas;Teruel;1380;402550N;005058W
8486X;Mosqueruela;Mosqueruela;Teruel;1515;402145N;002716W
9374X;Teruel, Santa Eulalia del Campo;Santa Eulalia;Teruel;1000;403400N;011915W
9381I;Calamocha;Calamocha;Teruel;890;405534N;011736W
9436X;Fonfría;Fonfría;Teruel;1255;405943N;010515W
9513X;Muniesa;Muniesa;Teruel;800;410152N;004820W
9531Y;Montalbán;Montalbán;Teruel;895;404943N;004735W
9546B;Hijar;Híjar;Teruel;305;411019N;002631W
9550C;Andorra;Andorra;Teruel;762;405828N;002428W
9561X;Castellote;Castellote;Teruel;755;404754N;001855W
9569A;Calanda;Calanda;Teruel;466;405648N;001416W
9573X;Alcañiz;Alcañiz;Teruel;334;410329N;000830W
9935X;Valderrobres;Valderrobres;Teruel;482;405224N;000846E
9998X;Bello;Bello;Teruel;1006;405517N;012940W
3099Y;Ocaña;Ocaña;Toledo;733;395606N;032946W
3245Y;Tembleque;Tembleque;Toledo;635;394146N;033021W
3254Y;Mora;Mora;Toledo;717;394113N;034650W
3260B;Toledo;Toledo;Toledo;515;395305N;040243W
3298X;San Pablo de los Montes;San Pablo de los Montes;Toledo;917;393249N;042102W
3305Y;Navahermosa;Navahermosa;Toledo;750;393750N;042837W
3362Y;Castillo de Bayuela;Castillo de Bayuela;Toledo;560;400629N;044050W
3365A;Talavera de la Reina;Talavera de la Reina;Toledo;372;395731N;045149W
3427Y;Oropesa;Oropesa;Toledo;345;395936N;050652W
4061X;Quintanar de la Orden;Quintanar de la Orden;Toledo;691;393551N;030249W
4067;Madridejos;Madridejos;Toledo;690;392931N;033142W
4236Y;Puerto del Rey;Sevilleja de la Jara;Toledo;620;392647N;050113W
8058X;Oliva;Oliva;València/Valencia;5;385544N;000545W
8058Y;Miramar;Miramar;València/Valencia;12;385701N;000816W
8072Y;Barx;Barx;València/Valencia;340;390101N;001817W
8193E;Jalance;Jalance;València/Valencia;372;391230N;010540W
8203O;Zarra;Zarra;València/Valencia;855;390458N;010604W
8270X;Bicorp;Bicorp;València/Valencia;305;390801N;004724W
