;color;director_name;duration;gross;genres;movie_title;title_year;language;country;budget;imdb_score;actors;movie_facebook_likes;movie_twitter_likes
24;Color;;156;$183,635,922.00;Adventure|Drama|Thriller|Western;the revenant;2015;English;USA;USD 135,000,000.00;8.1;Leonardo DiCaprio,Tom Hardy,Lukas Haas;190000;1000
25;Color;Michael Bay;154;$352,358,779.00;Action|Adventure|Sci-Fi;transformers: dark of the moon;2011;English;USA;USD 195,000,000.00;6.3;Glenn Morshower,Lester Speight,Kevin Dunn;46000;1000
26;Color;Denis Villeneuve;153;$60,962,878.00;Crime|Drama|Mystery|Thriller;prisoners;2013;English;USA;USD 46,000,000.00;8.1;Hugh Jackman,Jake Gyllenhaal,Dylan Minnette;86000;1000
27;Color;Gnana Rajasekaran;153;$nan;Biography|Drama|History;ramanujan;2014;English;India;USD nan;7.0;Mani Bharathi,Michael Lieber,Kevin McGowan;58;1000
28;Color;Marc Webb;153;$262,030,663.00;Action|Adventure|Fantasy;the amazing spider-man;2012;English;USA;USD 230,000,000.00;7.0;Emma Stone,Andrew Garfield,Chris Zylka;56000;1000
29;Color;Nan;151;$228,430,993.00;Adventure|Drama|Sci-Fi;the martian;2015;English;USA;USD 108,000,000.00;8.1;Matt Damon,Donald Glover,Benedict Wong;153000;1000
30;Color;Ridley Scott;150;$65,007,045.00;Action|Adventure|Drama;exodus: gods and kings;2014;English;UK;USD 140,000,000.00;6.1;Christian Bale,María Valverde,Ben Mendelsohn;51000;1000
31;Color;Ridley Scott;150;$65,007,045.00;Action|Adventure|Drama;exodus: gods and kings;2014;English;UK;USD 140,000,000.00;6.1;Christian Bale,María Valverde,Ben Mendelsohn;51000;1000
32;Color;;150;$182,204,440.00;Biography|Drama|History|War;lincoln;2012;English;USA;USD 65,000,000.00;7.4;Joseph Gordon-Levitt,Hal Holbrook,Bruce McGill;71000;1000
33;Color;Mike Leigh;150;$3,958,500.00;Biography|Drama|History;mr. turner;2014;English;UK;USD nan;6.8;Lesley Manville,Ruth Sheen,Karl Johnson;0;1000
34;Color;Gore Verbinski;650;$89,289,910.00;Action|Adventure|Western;the lone ranger;2013;English;USA;USD 215,000,000.00;6.5;Johnny Depp,Ruth Wilson,Tom Wilkinson;48000;1000
35;Color;David Fincher;149;$167,735,396.00;Crime|Drama|Mystery|Thriller;gone girl;2014;English;USA;USD 61,000,000.00;8.1;Patrick Fugit,Sela Ward,Emily Ratajkowski;146000;1000
36;Color;Bryan Singer;149;$233,914,986.00;Action|Adventure|Fantasy|Sci-Fi|Thriller;x-men: days of future past;2014;English;United States;USD 200,000,000.00;8.0;Jennifer Lawrence,Peter Dinklage,Hugh Jackman;82000;1000
37;Color;Jay Oliva;148;$nan;Action|Animation|Crime|Sci-Fi|Thriller;batman: the dark knight returns, part 2;2013;English;USA;USD 3,500,000.00;8.4;Michael Emerson,Mark Valley,Grey Griffin;5000;1000
38;Color;Christopher Nolan;148;$292,568,851.00;Action|Adventure|Sci-Fi|Thriller;inception;2010;English;USA;USD 160,000,000.00;8.8;Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt;175000;1000
39;Color;Paul Thomas Anderson;148;$8,093,318.00;Comedy|Crime|Drama|Mystery|Romance;inherent vice;2014;English;USA;USD 20,000,000.00;6.7;Martin Dew,Katherine Waterston,Serena Scott Thomas;18000;1000
40;Color;Sam Mendes;148;$200,074,175.00;Action|Adventure|Thriller;spectre;2015;English;UK;USD 245,000,000.00;6.8;Christoph Waltz,Rory Kinnear,Stephanie Sigman;85000;1000
41;Color;;147;$407,197,282.00;Action|Adventure|Sci-Fi;captain america: civil war;2016;English;USA;USD 250,000,000.00;8.2;Robert Downey Jr.,Scarlett Johansson,Chris Evans;72000;1000
42;Color;Michael Patrick King;146;$95,328,937.00;Comedy|Drama|Romance;sex and the city 2;2010;English;USA;USD 100,000,000.00;4.3;Chris Noth,Liza Minnelli,Kristin Davis;0;1000
43;Color;Tate Taylor;146;$169,705,587.00;Drama;the help;2011;English;USA;USD 25,000,000.00;8.1;Emma Stone,Bryce Dallas Howard,Mike Vogel;75000;1000
44;Color;Francis Lawrence;146;$424,645,577.00;Adventure|Sci-Fi|Thriller;the hunger games: catching fire;2013;English;USA;USD 130,000,000.00;7.6;Jennifer Lawrence,Josh Hutcherson,Sandra Ellis Lafferty;82000;1000
45; Black and White;Steven Spielberg;146;$79,883,359.00;Drama|War;war horse;2011;English;usa;USD 66,000,000.00;7.2;Jeremy Irvine,Benedict Cumberbatch,Eddie Marsan;28000;1000
46;Color;Michael Bay;144;$52,822,418.00;Action|Drama|Thriller|War;13 hours;2016;English;USA;USD 50,000,000.00;7.4;Toby Stephens,James Badge Dale,David Costabile;44000;1000
47;Color;Guillaume Canet;144;$41,229.00;Crime|Drama|Thriller;blood ties;2013;English;France;USD 25,500,000.00;6.5;Mila Kunis,Lili Taylor,Billy Crudup;0;1000
48;Color;Paul Thomas Anderson;144;$16,377,274.00;Drama;the master;2012;English;USA;USD 32,000,000.00;7.1;Mike Howard,Jeffrey W. Jenkins,Bruce Goodchild;27000;1000
49;Color;Bryan Singer;144;$154,985,087.00;Action|Adventure|Sci-Fi;x-men: apocalypse;2016;English;USA;USD 178,000,000.00;7.3;Jennifer Lawrence,Michael Fassbender,Tye Sheridan;54000;1000
50;Color;Adam McKay;143;$2,175,312.00;Comedy;anchorman 2: the legend continues;2013;English;USA;USD 50,000,000.00;6.3;Harrison Ford,Will Ferrell,Steve Carell;41000;1000
51;Color;Zack Snyder;143;$-1,532.00;Action|Adventure|Fantasy|Sci-Fi;man of steel;2013;English;USA;USD 225,000,000.00;7.2;Henry Cavill,Christopher Meloni,Harry Lennix;118000;1000
52;Color;Sam Mendes;143;$304,360,277.00;Action|Adventure|Thriller;skyfall;2012;English;UK;USD 200,000,000.00;7.8;Albert Finney,Helen McCrory,Rory Kinnear;80000;1000
53;Color;Sam Mendes;143;$304,360,277.00;Action|Adventure|Thriller;skyfall;2012;English;UK;USD 200,000,000.00;7.8;Albert Finney,Helen McCrory,Rory Kinnear;80000;1000
54;Color;Baz Luhrmann;143;$144,812,796.00;Drama|Romance;the great gatsby;2013;English;Australia;USD 105,000,000.00;7.3;Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley;115000;1000
55;Color;Baz Luhrmann;143;$144,812,796.00;Drama|Romance;the great gatsby;2013;English;Australia;USD 105,000,000.00;7.3;Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley;115000;1000
56;;;143;$nan;Drama|Horror|Thriller;the ridges;2011;English;USA;USD 17,350.00;3.0;Robbie Barnes,Alana Kaniewski,Brandon Landers;33;1000
57;Color;Steven Spielberg;142;$72,306,065.00;Drama|History|Thriller;bridge of spies;2015;English;USA;USD 40,000,000.00;7.6;Tom Hanks,Mark Rylance,Amy Ryan;55000;1000
58;Color;Marc Webb;142;$202,853,933.00;Action|Adventure|Fantasy|Sci-Fi;the amazing spider-man 2;2014;English;USA;USD 200,000,000.00;6.7;Emma Stone,Andrew Garfield,B.J. Novak;41000;1000
59;Color;;142;$407,999,255.00;Adventure|Drama|Sci-Fi|Thriller;the hunger games;2012;English;USA;USD 78,000,000.00;7.3;Jennifer Lawrence,Josh Hutcherson,Anthony Reynolds;140000;1000
60;Color;Joss Whedon;141;$458,991,599.00;Action|Adventure|Sci-Fi;avengers: age of ultron;2030;English;USA;USD 250,000,000.00;7.5;Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson;118000;1000
61;Color;Timur Bekmambetov;141;$nan;Adventure|Drama|History;ben-hur;2016;English;USA;USD 100,000,000.00;6.1;Morgan Freeman,Ayelet Zurer,Moises Arias;0;1000
62;Color;Timur Bekmambetov;141;$nan;Adventure|Drama|History;ben-hur;2016;English;USA;USD 100,000,000.00;6.0;Morgan Freeman,Ayelet Zurer,Moises Arias;0;1000
63;Color;Timur Bekmambetov;141;$nan;Adventure|Drama|History;ben-hur;2016;English;USA;USD 100,000,000.00;6.1;Morgan Freeman,Ayelet Zurer,Moises Arias;0;1000
64;Color;Justin Chadwick;141;$8,324,748.00;Biography|Drama|History;mandela: long walk to freedom;2013;English;UK;USD 35,000,000.00;7.1;Terry Pheto,Fana Mokoena,Tony Kgoroge;13000;1000
65;;Oliver Stone;141;$47,307,550.00;Crime|Drama|Thriller;savages;2012;English;USA;USD 45,000,000.00;6.5;Demián Bichir,Shea Whigham,Gary Stretch;28000;1000
66;Color;David Dobkin;141;$47,105,085.00;Crime|Drama;the judge;2014;English;USA;USD 50,000,000.00;7.4;Robert Downey Jr.,Robert Duvall,Leighton Meester;47000;1000
67;Color;Ryan Murphy;140;$80,574,010.00;Drama|Romance;eat pray love;2010;English;USA;USD 60,000,000.00;5.7;James Franco,Julia Roberts,Billy Crudup;26000;1000
68;Color;James Wan;140;$350,034,110.00;Action|Crime|Thriller;furious 7;2015;English;USA;USD 190,000,000.00;7.2;Jason Statham,Paul Walker,Vin Diesel;94000;1000
69;Color;Derek Cianfrance;140;$21,383,298.00;Crime|Drama|Thriller;the place beyond the pines;2012;English;USA;USD 15,000,000.00;7.3;Ryan Gosling,Ben Mendelsohn,Angelo Anthony Pizza;47000;1000
70;Color;Gavin O'Connor;140;$13,651,662.00;Drama|Sport;warrior;2011;English;USA;USD 25,000,000.00;8.2;Tom Hardy,Frank Grillo,Kevin Dunn;77000;1000
71;Color;;139;$150,832,203.00;Adventure|Mystery|Sci-Fi;divergent;1800;English;USA;USD 85,000,000.00;6.7;Kate Winslet,Theo James,Mekhi Phifer;49000;1000
72;Color;Gary Ross;139;$20,389,967.00;Action|Biography|Drama|History|War;free state of jones;2016;English;USA;USD 50,000,000.00;6.7;Matthew McConaughey,Donald Watkins,Jessica Collins;10000;1000
73;Color;Tate Taylor;139;$30,513,940.00;Biography|Drama|Music;get on up;2014;English;USA;USD 30,000,000.00;6.9;Tika Sumpter,Josh Hopkins,Aunjanue Ellis;11000;1000
74;;Terrence Malick;139;$13,303,319.00;Drama|Fantasy;the tree of life;2011;English;USA;USD 32,000,000.00;6.7;Brad Pitt,Tye Sheridan,Fiona Shaw;39000;1000
75;Color;;138;$150,117,807.00;Crime|Drama;american hustle;2013;English;USA;USD 40,000,000.00;7.3;Jennifer Lawrence,Christian Bale,Bradley Cooper;63000;1000
76;;Robert Zemeckis;138;$93,749,203.00;Drama|Thriller;flight;2012;English;USA;USD 31,000,000.00;7.3;Denzel Washington,Bruce Greenwood,Nadine Velazquez;64000;1000
77;Color;Darren Aronofsky;138;$101,160,529.00;Action|Adventure|Drama;noah;2014;English;USA;USD 125,000,000.00;5.8;Anthony Hopkins,Emma Watson,Logan Lerman;71000;1000
78;Color;Martin Scorsese;138;$127,968,405.00;Mystery|Thriller;shutter island;2010;English;USA;USD 80,000,000.00;8.1;Leonardo DiCaprio,Joseph Sikora,Nellie Sciutto;53000;1000
79;Color;Ridley Scott;138;$16,969,390.00;Crime|Drama|Thriller;the counselor;2013;English;USA;USD 25,000,000.00;5.3;Michael Fassbender,Brad Pitt,Goran Visnjic;24000;1000
80;;James Mangold;138;$132,550,960.00;Action|Adventure|Sci-Fi|Thriller;the wolverine;2013;English;USA;USD 120,000,000.00;6.7;Hugh Jackman,Tao Okamoto,Rila Fukushima;68000;1000
81;Color;Daniel Espinosa;137;$1,206,135.00;Crime|Drama|Thriller;child 44;205;English;Czech Republic;USD 50,000,000.00;6.4;Tom Hardy,Fares Fares,Michael Nardone;18000;1000
82;Color;;137;$37,304,950.00;Biography|Crime|Drama;j. edgar;2011;English;USA;USD 35,000,000.00;6.6;Leonardo DiCaprio,Naomi Watts,Kaitlyn Dever;16000;1000
83;;Walter Salles;137;$717,753.00;Adventure|Drama;on the road;2012;English;France;USD 25,000,000.00;6.1;Kristen Stewart,Viggo Mortensen,Kirsten Dunst;27000;1000
84;Color;;137;$281,666,058.00;Adventure|Sci-Fi;the hunger games: mockingjay - part 2;2015;English;USA;USD 160,000,000.00;6.6;Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson;38000;1000
85;Color;Angelina Jolie Pitt;137;$115,603,980.00;Biography|Drama|Sport|War;unbroken;2014;English;USA;USD 65,000,000.00;-1.2;Finn Wittrock,Jack O'Connell,Alex Russell;35000;1000
86;Color;Angelina Jolie Pitt;137;$115,603,980.00;Biography|Drama|Sport|War;unbroken;2014;English;USA;USD 65,000,000.00;7.2;Finn Wittrock,Jack O'Connell,Alex Russell;35000;1000
87;;Seth MacFarlane;136;$42,615,685.00;Comedy|Western;a million ways to die in the west;2014;English;USA;USD 40,000,000.00;6.1;Liam Neeson,Charlize Theron,Seth MacFarlane;24000;1000
88;Color;Anthony Russo;136;$259,746,958.00;Action|Adventure|Sci-Fi;captain america: the winter soldier;2014;English;usa;USD 170,000,000.00;7.8;Scarlett Johansson,Chris Evans,Hayley Atwell;55000;1000
89;Color;Rob Marshall;136;$241,063,875.00;Action|Adventure|Fantasy;pirates of the caribbean: on stranger tides;2011;English;USA;USD 250,000,000.00;6.7;Johnny Depp,Sam Claflin,Stephen Graham;58000;1000
90;Color;Adam Shankman;136;$38,509,342.00;Comedy|Drama|Musical|Romance;rock of ages;2012;English;USA;USD 75,000,000.00;5.9;James Martin Kelly,Shane Hartline,Celina Beach;33000;1000
91;Color;;136;$52,474,616.00;Drama;wall street: money never sleeps;2010;English;USA;USD 70,000,000.00;6.3;Frank Langella,Austin Pendleton,John Buffalo Mailer;13000;1000
92;Color;Sadyk Sher-Niyaz;135;$-92,939.00;Action|Biography|Drama|History;queen of the mountains;2014;English;Kyrgyzstan;USD 1,400,000.00;8.7;Elina Abai Kyzy,Aziz Muradillayev,Mirlan Abdulayev;0;1000
93;Color;Tony Gilroy;135;$113,165,635.00;Action|Adventure|Thriller;the bourne legacy;2012;English;USA;USD 125,000,000.00;6.7;Jeremy Renner,Scott Glenn,Stacy Keach;31000;1000
94;Color;Steve McQueen;134;$56,667,870.00;Biography|Drama|History;12 years a slave;2013;English;USA;USD 20,000,000.00;8.1;Quvenzhané Wallis,Scoot McNairy,Taran Killam;83000;1000
95;Color;Richard J. Lewis;134;$7,501,404.00;Comedy|Drama;barney's version;2010;English;Canada;USD nan;7.3;Mark Addy,Atom Egoyan,Paul Gross;0;1000
96;Color;Paul Greengrass;134;$107,100,855.00;Biography|Drama|Thriller;captain phillips;2013;English;USA;USD 55,000,000.00;7.9;Tom Hanks,Chris Mulkey,Michael Chernus;65000;1000
97;Color;David Ayer;134;$85,707,116.00;Action|Drama|War;fury;2014;English;USA;USD 68,000,000.00;7.6;Brad Pitt,Logan Lerman,Jim Parrack;82000;1000
98;Color;Clint Eastwood;5;$47,034,272.00;Biography|Drama|Music|Musical;jersey boys;2014;English;USA;USD 40,000,000.00;6.9;Johnny Cannizzaro,Steve Schirripa,Scott Vance;16000;1000
